
5 Mot inconnu : ENT => ====== ENT - Triade (gestion scolaire) ====== | ent
80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Traitement de fin d'année simplifié  |    => suggestions : ['']
80 Espace(s) en fin de ligne à supprimer. =>   * Traitement de fin d'année simplifié  |   => suggestions : ['']

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Bannière d'informations  |    => suggestions : ['']
81 Espace(s) en fin de ligne à supprimer. =>   * Bannière d'informations  |   => suggestions : ['']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Module agenda (Phenix)  |    => suggestions : ['']
82 Mot inconnu : Phenix =>   * Module agenda (Phenix)  | phenix
82 Espace(s) en fin de ligne à supprimer. =>   * Module agenda (Phenix)  |   => suggestions : ['']

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion des stages pour lycée professionnel  |    => suggestions : ['']
83 Espace(s) en fin de ligne à supprimer. =>   * Gestion des stages pour lycée professionnel  |   => suggestions : ['']

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion et création du livret de compétences  |    => suggestions : ['']
84 Espace(s) en fin de ligne à supprimer. =>   * Gestion et création du livret de compétences  |   => suggestions : ['']

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion des études  |    => suggestions : ['']
85 Espace(s) en fin de ligne à supprimer. =>   * Gestion des études  |   => suggestions : ['']

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion des ECTS / Notation US / Notation Fr  |    => suggestions : ['']
86 Mot inconnu : ECTS =>   * Gestion des ECTS / Notation US / Notation Fr  | ects
86 Espace(s) en fin de ligne à supprimer. =>   * Gestion des ECTS / Notation US / Notation Fr  |   => suggestions : ['']

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion de la réservation de salle |    => suggestions : ['']

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion de code barre par élève.  |    => suggestions : ['']
88 Espace(s) en fin de ligne à supprimer. =>   * Gestion de code barre par élève.  |   => suggestions : ['']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Communiqué audio (mp3) en flux continu  |    => suggestions : ['']
89 Espace(s) en fin de ligne à supprimer. =>   * Communiqué audio (mp3) en flux continu  |   => suggestions : ['']

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Messagerie interne avec enseignants, vie scolaire, parents |    => suggestions : ['']

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Messagerie interne à l'établissement  |    => suggestions : ['']
91 Espace(s) en fin de ligne à supprimer. =>   * Messagerie interne à l'établissement  |   => suggestions : ['']

