
6 Mot inconnu : Eee => ====== Asus Eee PC 1201 ====== | eee
55 Avec une unité de mesure, mettez un espace insécable. =>   * **Batterie :** 6 cellules 4400 mAh - 47 Wh, 2 heures. | 47 wh => suggestions : ['47\xa0Wh']
55 Avec une unité de mesure, mettez un espace insécable. =>   * **Batterie :** 6 cellules 4400 mAh - 47 Wh, 2 heures. | 2 heures => suggestions : ['2\xa0heures']

57 Si “N” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => ==== Modèle 1201 N ==== | 1201 n => suggestions : ['1\xa0201\xa0N']

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Processeur** : Intel® Atom™ 330 de 1,60 Ghz - Double cœur ; |    => suggestions : ['']
59 Mot inconnu : Atom =>   * **Processeur** : Intel® Atom™ 330 de 1,60 Ghz - Double cœur ; | atom
59 Si “Ghz” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * **Processeur** : Intel® Atom™ 330 de 1,60 Ghz - Double cœur ; | 1,60 ghz => suggestions : ['1,60\xa0Ghz']
59 Mot inconnu : Ghz =>   * **Processeur** : Intel® Atom™ 330 de 1,60 Ghz - Double cœur ; | ghz
59 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * **Processeur** : Intel® Atom™ 330 de 1,60 Ghz - Double cœur ; |  -  => suggestions : [' – ', ' — ', ' − ']

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Carte graphique** : NVIDIA® ION™ (GeForce 9400M rev b1) ; |    => suggestions : ['']
60 Mot inconnu : GeForce =>   * **Carte graphique** : NVIDIA® ION™ (GeForce 9400M rev b1) ; | geforce
60 Mot inconnu : rev =>   * **Carte graphique** : NVIDIA® ION™ (GeForce 9400M rev b1) ; | rev
60 Mot inconnu : b1 =>   * **Carte graphique** : NVIDIA® ION™ (GeForce 9400M rev b1) ; | b1

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Mémoire :** (selon date de sortie) |    => suggestions : ['']

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * 2 Go, |      => suggestions : ['']
62 Si “Go” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>     * 2 Go, | 2 go => suggestions : ['2\xa0Go']

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * 3 Go, |      => suggestions : ['']
63 Si “Go” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>     * 3 Go, | 3 go => suggestions : ['3\xa0Go']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Batterie :** 6 cellules 5800 mAh - 63 Wh, 3 ~ 5 heures. |    => suggestions : ['']
64 Si “mAh” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * **Batterie :** 6 cellules 5800 mAh - 63 Wh, 3 ~ 5 heures. | 5800 mah => suggestions : ['5\xa0800\xa0mAh']
64 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) =>   * **Batterie :** 6 cellules 5800 mAh - 63 Wh, 3 ~ 5 heures. |  -  => suggestions : [' – ', ' — ', ' − ', ' −']
64 Avec une unité de mesure, mettez un espace insécable. =>   * **Batterie :** 6 cellules 5800 mAh - 63 Wh, 3 ~ 5 heures. | 63 wh => suggestions : ['63\xa0Wh']
64 Avec une unité de mesure, mettez un espace insécable. =>   * **Batterie :** 6 cellules 5800 mAh - 63 Wh, 3 ~ 5 heures. | 5 heures => suggestions : ['5\xa0heures']

66 Si “NL” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => ==== Modèle 1201 NL ==== | 1201 nl => suggestions : ['1\xa0201\xa0NL']

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Processeur** : Intel® Atom™ N270 de 1,60 Ghz ; |    => suggestions : ['']
68 Mot inconnu : Atom =>   * **Processeur** : Intel® Atom™ N270 de 1,60 Ghz ; | atom
68 Mot inconnu : N270 =>   * **Processeur** : Intel® Atom™ N270 de 1,60 Ghz ; | n270
68 Si “Ghz” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * **Processeur** : Intel® Atom™ N270 de 1,60 Ghz ; | 1,60 ghz => suggestions : ['1,60\xa0Ghz']
68 Mot inconnu : Ghz =>   * **Processeur** : Intel® Atom™ N270 de 1,60 Ghz ; | ghz

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Carte graphique** : NVIDIA® ION™ FIXME((nom du matériel)) ; |    => suggestions : ['']
69 Mot inconnu : FIXME =>   * **Carte graphique** : NVIDIA® ION™ FIXME((nom du matériel)) ; | fixme
69 Il manque un espace avant la parenthèse. =>   * **Carte graphique** : NVIDIA® ION™ FIXME((nom du matériel)) ; | ( => suggestions : [' (']

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Mémoire :** (selon date de sortie) |    => suggestions : ['']

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * 1 Go, |      => suggestions : ['']
71 Si “Go” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>     * 1 Go, | 1 go => suggestions : ['1\xa0Go']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * 2 Go, |      => suggestions : ['']
