
120 S’il s’agit d’un adjectif, ne mettez pas de majuscule. [[11:20]] => == Serveur Canadiens == <|> canadiens => suggestions : ['canadiens']

122 Mot inconnu : deb [[0:3]] => deb http://ca.archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> deb
122 Mot inconnu : universe [[48:56]] => deb http://ca.archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> universe
122 Mot inconnu : multiverse [[57:67]] => deb http://ca.archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> multiverse

123 Mot inconnu : deb [[0:3]] => deb http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> deb
123 Mot inconnu : xenial-security [[38:53]] => deb http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> xenial-security
123 Mot inconnu : universe [[54:62]] => deb http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> universe
123 Mot inconnu : multiverse [[63:73]] => deb http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> multiverse

124 Mot inconnu : deb [[0:3]] => deb http://ca.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> deb
124 Mot inconnu : xenial-updates [[41:55]] => deb http://ca.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> xenial-updates
124 Mot inconnu : universe [[56:64]] => deb http://ca.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> universe
124 Mot inconnu : multiverse [[65:75]] => deb http://ca.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> multiverse

126 Mot inconnu : apt-get [[73:80]] => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) <|> apt-get

127 Mot inconnu : deb-src [[2:9]] => # deb-src http://ca.archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> deb-src
127 Mot inconnu : universe [[54:62]] => # deb-src http://ca.archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> universe
127 Mot inconnu : multiverse [[63:73]] => # deb-src http://ca.archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> multiverse

128 Mot inconnu : deb-src [[2:9]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> deb-src
128 Mot inconnu : xenial-security [[44:59]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> xenial-security
128 Mot inconnu : universe [[60:68]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> universe
128 Mot inconnu : multiverse [[69:79]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> multiverse

129 Mot inconnu : deb-src [[2:9]] => # deb-src http://ca.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> deb-src
129 Mot inconnu : xenial-updates [[47:61]] => # deb-src http://ca.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> xenial-updates
129 Mot inconnu : universe [[62:70]] => # deb-src http://ca.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> universe
129 Mot inconnu : multiverse [[71:81]] => # deb-src http://ca.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> multiverse

134 Mot inconnu : deb [[0:3]] => deb http://archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> deb
134 Mot inconnu : universe [[45:53]] => deb http://archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> universe
134 Mot inconnu : multiverse [[54:64]] => deb http://archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> multiverse

135 Mot inconnu : deb [[0:3]] => deb http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> deb
135 Mot inconnu : xenial-security [[38:53]] => deb http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> xenial-security
135 Mot inconnu : universe [[54:62]] => deb http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> universe
135 Mot inconnu : multiverse [[63:73]] => deb http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> multiverse

136 Mot inconnu : deb [[0:3]] => deb http://archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> deb
136 Mot inconnu : xenial-updates [[38:52]] => deb http://archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> xenial-updates
136 Mot inconnu : universe [[53:61]] => deb http://archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> universe
136 Mot inconnu : multiverse [[62:72]] => deb http://archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> multiverse

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

138 Mot inconnu : apt-get [[73:80]] => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) <|> apt-get

139 Mot inconnu : deb-src [[2:9]] => # deb-src http://archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> deb-src
139 Mot inconnu : universe [[51:59]] => # deb-src http://archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> universe
