
110 Mot inconnu : multiverse => deb http://ch.archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> multiverse

111 Mot inconnu : deb => deb http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> deb
111 Mot inconnu : trusty-security => deb http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> trusty-security
111 Mot inconnu : universe => deb http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> universe
111 Mot inconnu : multiverse => deb http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> multiverse

112 Mot inconnu : deb => deb http://ch.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> deb
112 Mot inconnu : trusty-updates => deb http://ch.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> trusty-updates
112 Mot inconnu : universe => deb http://ch.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> universe
112 Mot inconnu : multiverse => deb http://ch.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> multiverse

114 Mot inconnu : apt-get => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) <|> apt-get

115 Mot inconnu : deb-src => # deb-src http://ch.archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> deb-src
115 Mot inconnu : universe => # deb-src http://ch.archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> universe
115 Mot inconnu : multiverse => # deb-src http://ch.archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> multiverse

116 Mot inconnu : deb-src => # deb-src http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> deb-src
116 Mot inconnu : trusty-security => # deb-src http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> trusty-security
116 Mot inconnu : universe => # deb-src http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> universe
116 Mot inconnu : multiverse => # deb-src http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> multiverse

117 Mot inconnu : deb-src => # deb-src http://ch.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> deb-src
117 Mot inconnu : trusty-updates => # deb-src http://ch.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> trusty-updates
117 Mot inconnu : universe => # deb-src http://ch.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> universe
117 Mot inconnu : multiverse => # deb-src http://ch.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> multiverse

120 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => == Serveur Canadiens == <|> canadiens => suggestions : ['canadiens']

122 Mot inconnu : deb => deb http://ca.archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> deb
122 Mot inconnu : universe => deb http://ca.archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> universe
122 Mot inconnu : multiverse => deb http://ca.archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> multiverse

123 Mot inconnu : deb => deb http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> deb
123 Mot inconnu : trusty-security => deb http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> trusty-security
123 Mot inconnu : universe => deb http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> universe
123 Mot inconnu : multiverse => deb http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> multiverse

124 Mot inconnu : deb => deb http://ca.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> deb
124 Mot inconnu : trusty-updates => deb http://ca.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> trusty-updates
124 Mot inconnu : universe => deb http://ca.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> universe
124 Mot inconnu : multiverse => deb http://ca.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> multiverse

126 Mot inconnu : apt-get => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) <|> apt-get

127 Mot inconnu : deb-src => # deb-src http://ca.archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> deb-src
127 Mot inconnu : universe => # deb-src http://ca.archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> universe
127 Mot inconnu : multiverse => # deb-src http://ca.archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> multiverse

128 Mot inconnu : deb-src => # deb-src http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> deb-src
128 Mot inconnu : trusty-security => # deb-src http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> trusty-security
128 Mot inconnu : universe => # deb-src http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> universe
128 Mot inconnu : multiverse => # deb-src http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> multiverse

129 Mot inconnu : deb-src => # deb-src http://ca.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> deb-src
129 Mot inconnu : trusty-updates => # deb-src http://ca.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> trusty-updates
129 Mot inconnu : universe => # deb-src http://ca.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> universe
129 Mot inconnu : multiverse => # deb-src http://ca.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> multiverse

134 Mot inconnu : deb => deb http://archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> deb
134 Mot inconnu : universe => deb http://archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> universe
134 Mot inconnu : multiverse => deb http://archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> multiverse

135 Mot inconnu : deb => deb http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> deb
135 Mot inconnu : trusty-security => deb http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> trusty-security
135 Mot inconnu : universe => deb http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> universe
135 Mot inconnu : multiverse => deb http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> multiverse

136 Mot inconnu : deb => deb http://archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> deb
136 Mot inconnu : trusty-updates => deb http://archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> trusty-updates
136 Mot inconnu : universe => deb http://archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> universe
136 Mot inconnu : multiverse => deb http://archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> multiverse

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <|>   => suggestions : ['']

138 Mot inconnu : apt-get => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) <|> apt-get

