
5 Mot inconnu : XVNC => ====== XVNC - Un Terminal Serveur X par Vnc ====== | xvnc
112 Mot inconnu : ssh =>   * Ou dans le cas du [[vpn]] ou [[ssh]], voir par la suite. | ssh

117 Mot inconnu : vnc => Si vous vous connectez depuis une machine Windows, il suffit d'ouvrir la boîte de dialogue avec un client vnc (ex: TightVNC viewer) et assurez-vous d'ajouter le: 1 à la fin de l'adresse. | vnc
117 Mot inconnu : TightVNC => Si vous vous connectez depuis une machine Windows, il suffit d'ouvrir la boîte de dialogue avec un client vnc (ex: TightVNC viewer) et assurez-vous d'ajouter le: 1 à la fin de l'adresse. | tightvnc
117 Mot inconnu : viewer => Si vous vous connectez depuis une machine Windows, il suffit d'ouvrir la boîte de dialogue avec un client vnc (ex: TightVNC viewer) et assurez-vous d'ajouter le: 1 à la fin de l'adresse. | viewer

119 Mot inconnu : tightvnc => Si vous avez installé tightvnc (java) vous pouvez vous connecter par navigateur à http://localhost:5950  | tightvnc
119 Espace(s) en fin de ligne à supprimer. => Si vous avez installé tightvnc (java) vous pouvez vous connecter par navigateur à http://localhost:5950  |   => suggestions : ['']

121 Mot inconnu : Vnc => ===== Connexion automatique du Serveur Vnc ===== | vnc

122 Mot inconnu : Xinetd => ==== Xinetd ==== | xinetd

124 Mot inconnu : Xinetd => Xinetd est utilisé pour lancer automatiquement un serveur VNC sur l'appel d'un client externe.  | xinetd
124 Mot inconnu : VNC => Xinetd est utilisé pour lancer automatiquement un serveur VNC sur l'appel d'un client externe.  | vnc
124 Espace(s) en fin de ligne à supprimer. => Xinetd est utilisé pour lancer automatiquement un serveur VNC sur l'appel d'un client externe.  |   => suggestions : ['']

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Installer [[apt>xinetd]]. |    => suggestions : ['']
126 Mot inconnu : xinetd =>   * Installer [[apt>xinetd]]. | xinetd

128 Mot inconnu : xinetd => Il y a plusieurs façons de permettre à xinetd d'écouter les appels externes, voici quelques exemples : | xinetd

134 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Si vous voulez seulement l'accès aux clients internes, vous pouvez dresser la liste : |    => suggestions : ['']

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour une interface donné, vous pouvez spécifier l'IP de cette interface : |    => suggestions : ['']
137 Accord de genre erroné : « une interface » est féminin, « donné » est masculin. =>   * Pour une interface donné, vous pouvez spécifier l'IP de cette interface : | donné => suggestions : ['donnée']

143 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   instances = 60 |    => suggestions : ['']

144 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   log_type = SYSLOG authpriv  |    => suggestions : ['']
144 Mot inconnu : log_type =>   log_type = SYSLOG authpriv  | log_type
