
444 Mot inconnu : AAC [[27:30]] => === 3GPP H.263 176x144 4:3 AAC mono === <|> aac
446 Mot inconnu : gp [[17:19]] =>   * Extension : 3gp <|> gp
447 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

452 Mot inconnu : GPP [[5:8]] => === 3GPP H.264 320x240 16:9 crop AAC stereo === <|> gpp
452 Signe de multiplication typographique. [[15:22]] => === 3GPP H.264 320x240 16:9 crop AAC stereo === <|> 320x240 => suggestions : ['320\xa0×\xa0240']
452 Mot inconnu : x240 [[18:22]] => === 3GPP H.264 320x240 16:9 crop AAC stereo === <|> x240
452 Mot inconnu : crop [[28:32]] => === 3GPP H.264 320x240 16:9 crop AAC stereo === <|> crop
452 Mot inconnu : AAC [[33:36]] => === 3GPP H.264 320x240 16:9 crop AAC stereo === <|> aac
452 Mot inconnu : stereo [[37:43]] => === 3GPP H.264 320x240 16:9 crop AAC stereo === <|> stereo
454 Mot inconnu : gp [[17:19]] =>   * Extension : 3gp <|> gp
455 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

460 Mot inconnu : GPP [[5:8]] => === 3GPP H.264 320x240 16:9 letterbox AAC stereo === <|> gpp
460 Signe de multiplication typographique. [[15:22]] => === 3GPP H.264 320x240 16:9 letterbox AAC stereo === <|> 320x240 => suggestions : ['320\xa0×\xa0240']
