
82 Mot inconnu : other => #It will then populate all other variables without any user input | other
82 Mot inconnu : without => #It will then populate all other variables without any user input | without
82 Mot inconnu : any => #It will then populate all other variables without any user input | any

83 Mot inconnu : you => #If you would like to configure lirc via standard methods, be sure | you
83 Mot inconnu : would => #If you would like to configure lirc via standard methods, be sure | would
83 Mot inconnu : to => #If you would like to configure lirc via standard methods, be sure | to
83 Mot inconnu : lirc => #If you would like to configure lirc via standard methods, be sure | lirc
83 Mot inconnu : methods => #If you would like to configure lirc via standard methods, be sure | methods

84 Mot inconnu : leave => #to leave this set to "false" | leave
84 Mot inconnu : this => #to leave this set to "false" | this
84 Mot inconnu : to => #to leave this set to "false" | to
84 Guillemets typographiques ouvrants. => #to leave this set to "false" | " => suggestions : ['«\xa0', '“']
84 Mot inconnu : false => #to leave this set to "false" | false
84 Guillemets typographiques fermants. => #to leave this set to "false" | " => suggestions : ['\xa0»', '”']

85 Mot inconnu : FORCE_NONINTERACTIVE_RECONFIGURATION => FORCE_NONINTERACTIVE_RECONFIGURATION="false" | force_noninteractive_reconfiguration
85 Guillemets typographiques ouvrants. => FORCE_NONINTERACTIVE_RECONFIGURATION="false" | " => suggestions : ['«\xa0', '“']
85 Mot inconnu : false => FORCE_NONINTERACTIVE_RECONFIGURATION="false" | false
85 Guillemets typographiques fermants. => FORCE_NONINTERACTIVE_RECONFIGURATION="false" | " => suggestions : ['\xa0»', '”']

86 Mot inconnu : START_LIRCMD => START_LIRCMD="" | start_lircmd

92 Mot inconnu : TSOP => Pour récepteur infrarouge TSOP 1736 branché sur un port audio interne sur carte mère à base de i810 sous Mythbuntu 9.10. | tsop
92 Accord de nombre erroné avec « 1736 » : « branché » devrait être au pluriel. => Pour récepteur infrarouge TSOP 1736 branché sur un port audio interne sur carte mère à base de i810 sous Mythbuntu 9.10. | branché => suggestions : ['branchés']
92 Élision de l’article devant un mot commençant par une voyelle. => Pour récepteur infrarouge TSOP 1736 branché sur un port audio interne sur carte mère à base de i810 sous Mythbuntu 9.10. | de  => suggestions : ['d’']
92 Mot inconnu : i810 => Pour récepteur infrarouge TSOP 1736 branché sur un port audio interne sur carte mère à base de i810 sous Mythbuntu 9.10. | i810
92 Mot inconnu : Mythbuntu => Pour récepteur infrarouge TSOP 1736 branché sur un port audio interne sur carte mère à base de i810 sous Mythbuntu 9.10. | mythbuntu

96 Mot inconnu : Remote => #Chosen Remote Control | remote
96 Mot inconnu : Control => #Chosen Remote Control | control

97 Mot inconnu : REMOTE => REMOTE="IR receiver IC connected to audio input using ALSA (EXPERIMENTAL)" | remote
