80 Mot inconnu : Symphorien => | 37 - Tours St Symphorien | LFOT |
80 Mot inconnu : LFOT => | 37 - Tours St Symphorien | LFOT |

81 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 38 - Grenoble St Geoirs | LFLS |
81 Il manque un trait d’union s’il s’agit d’une église, d’une cité, d’une communauté, d’un lieu… S’il s’agit d’une personne, écrivez “saint” ou “sainte” sans majuscule, sans trait d’union. => | 38 - Grenoble St Geoirs | LFLS |
81 Mot inconnu : Geoirs => | 38 - Grenoble St Geoirs | LFLS |
81 Mot inconnu : LFLS => | 38 - Grenoble St Geoirs | LFLS |

82 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 39 - Dole Tavaux | LFGJ |
82 Mot inconnu : Tavaux => | 39 - Dole Tavaux | LFGJ |
82 Mot inconnu : LFGJ => | 39 - Dole Tavaux | LFGJ |

83 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 40 - Biscarosse Parentis | LFBS |
83 Mot inconnu : Biscarosse => | 40 - Biscarosse Parentis | LFBS |
83 Mot inconnu : Parentis => | 40 - Biscarosse Parentis | LFBS |
83 Mot inconnu : LFBS => | 40 - Biscarosse Parentis | LFBS |

84 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 40 - Dax Seyresse | LFBY |
84 Mot inconnu : Seyresse => | 40 - Dax Seyresse | LFBY |
84 Mot inconnu : LFBY => | 40 - Dax Seyresse | LFBY |

85 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 40 - Mont-De-Marsan (base aérienne) | LFBM |
